task_index,repetition,strategy,models_used,internals
15,1,blind-debate,kimi-k2-0905-preview|meta-llama/Llama-3.1-8B-Instruct|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, meta-llama/Llama-3.1-8B-Instruct, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, phala/gpt-oss-120b] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: respondent:kimi-k2-0905-preview($0.0000/1ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0000/3268ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:deepseek-v4-pro($0.6605/15127ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → meta-llama/Llama-3.1-8B-Instruct → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → phala/gpt-oss-120b]"
16,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-8B($0.0012/39394ms), respondent:deepseek-v4-pro($2.1648/53428ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro → phala/gpt-oss-120b]"
16,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|qwen3-max-preview|Qwen/Qwen3-8B|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, qwen3-max-preview, Qwen/Qwen3-8B, kimi-k2-0905-preview] [decider: mistral-large-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:mistral-large-latest($0.0203/41372ms), respondent:qwen3-max-preview($0.9810/26107ms), respondent:Qwen/Qwen3-8B($0.0010/31658ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → qwen3-max-preview → Qwen/Qwen3-8B → kimi-k2-0905-preview]"
21,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|meta-llama/Llama-3.1-8B-Instruct|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, meta-llama/Llama-3.1-8B-Instruct, phala/gpt-oss-120b] [decider: deepseek-v4-pro] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:deepseek-v4-pro($0.3870/9068ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0000/1389ms), adjudicator:phala/gpt-oss-120b($0.0000/1ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → meta-llama/Llama-3.1-8B-Instruct → phala/gpt-oss-120b]"
26,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistralai/ministral-14b-instruct-2512|codestral-latest|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistralai/ministral-14b-instruct-2512, codestral-latest, kimi-k2-0905-preview] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:mistralai/ministral-14b-instruct-2512($0.0143/37837ms), respondent:mistralai/ministral-14b-instruct-2512($0.0103/31027ms), respondent:codestral-latest($0.0006/6826ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistralai/ministral-14b-instruct-2512 → codestral-latest → kimi-k2-0905-preview]"
26,2,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|minimax/minimax-m2.1-lightning,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, minimax/minimax-m2.1-lightning] [decider: openai/gpt-oss-120b] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0007/2784ms), respondent:openai/gpt-oss-120b($0.0019/7498ms), adjudicator:minimax/minimax-m2.1-lightning($0.0000/7851ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → minimax/minimax-m2.1-lightning]"
28,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|codestral-latest|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, codestral-latest, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-8B($0.0020/68418ms), respondent:codestral-latest($0.0008/7706ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → codestral-latest → phala/gpt-oss-120b]"
28,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|qwen3-max-preview|Qwen/Qwen3-8B|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, qwen3-max-preview, Qwen/Qwen3-8B, kimi-k2-0905-preview] [decider: mistral-large-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:mistral-large-latest($0.0150/32224ms), respondent:qwen3-max-preview($0.8023/23851ms), respondent:Qwen/Qwen3-8B($0.0014/44308ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → qwen3-max-preview → Qwen/Qwen3-8B → kimi-k2-0905-preview]"
34,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/1ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:Qwen/Qwen3-8B($0.0003/10368ms), respondent:deepseek-v4-pro($1.1190/29885ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro → phala/gpt-oss-120b]"
34,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|qwen3-max-preview|Qwen/Qwen3-8B|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, qwen3-max-preview, Qwen/Qwen3-8B, kimi-k2-0905-preview] [decider: mistral-large-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:mistral-large-latest($0.0116/26066ms), respondent:qwen3-max-preview($0.7335/24009ms), respondent:Qwen/Qwen3-8B($0.0003/8342ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → qwen3-max-preview → Qwen/Qwen3-8B → kimi-k2-0905-preview]"
39,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|deepseek-v4-pro|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, deepseek-v4-pro, phala/gpt-oss-120b] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0003/39316ms), respondent:deepseek-v4-pro($0.9698/31591ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → deepseek-v4-pro → phala/gpt-oss-120b]"
46,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:codestral-latest($0.0004/4682ms), respondent:mistralai/ministral-14b-instruct-2512($0.0105/47239ms), respondent:mistralai/ministral-14b-instruct-2512($0.0164/51771ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
46,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0006/2524ms), respondent:openai/gpt-oss-120b($0.0019/6831ms), respondent:openai/gpt-oss-120b($0.0228/33725ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → kimi-k2-0905-preview]"
47,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|mistralai/ministral-14b-instruct-2512|gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, mistralai/ministral-14b-instruct-2512, gpt-oss-120b] [decider: gpt-oss-120b] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0003/31759ms), respondent:mistralai/ministral-14b-instruct-2512($0.0129/113700ms), adjudicator:gpt-oss-120b($0.0195/1106ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → mistralai/ministral-14b-instruct-2512 → gpt-oss-120b]"
48,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|deepseek-v4-pro|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, deepseek-v4-pro, phala/gpt-oss-120b] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0000/4454ms), respondent:deepseek-v4-pro($1.0000/27689ms), adjudicator:phala/gpt-oss-120b($0.0000/1ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → deepseek-v4-pro → phala/gpt-oss-120b]"
48,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|Qwen/Qwen3-8B|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, Qwen/Qwen3-8B, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: mistral-large-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:mistral-large-latest($0.0064/21519ms), respondent:Qwen/Qwen3-8B($0.0002/6411ms), respondent:openai/gpt-oss-120b($0.0019/7160ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → Qwen/Qwen3-8B → openai/gpt-oss-120b → kimi-k2-0905-preview]"
57,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:codestral-latest($0.0016/18867ms), respondent:mistralai/ministral-14b-instruct-2512($0.0180/53894ms), respondent:mistralai/ministral-14b-instruct-2512($0.0278/82388ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
57,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0007/2422ms), respondent:openai/gpt-oss-120b($0.0019/7207ms), respondent:openai/gpt-oss-120b($0.0221/31366ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → kimi-k2-0905-preview]"
62,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:codestral-latest($0.0017/17744ms), respondent:mistralai/ministral-14b-instruct-2512($0.0185/68498ms), respondent:mistralai/ministral-14b-instruct-2512($0.0224/89719ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
62,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|qwen3-max-preview|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, qwen3-max-preview, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: qwen3-max-preview] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:qwen3-max-preview($1.8005/53383ms), respondent:openai/gpt-oss-120b($0.0007/2685ms), respondent:openai/gpt-oss-120b($0.0019/7011ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → qwen3-max-preview → openai/gpt-oss-120b → kimi-k2-0905-preview]"
98,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:codestral-latest($0.0005/5444ms), respondent:mistralai/ministral-14b-instruct-2512($0.0168/47229ms), respondent:mistralai/ministral-14b-instruct-2512($0.0080/16527ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
98,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:codestral-latest($0.0005/6045ms), respondent:mistralai/ministral-14b-instruct-2512($0.0097/50276ms), respondent:mistralai/ministral-14b-instruct-2512($0.0102/27317ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
102,1,blind-debate,"","[cost:missing,confidence:none] [ERROR] HTTP 422 [capability_dependency_unavailable] Video orchestration exhausted 6 candidate model(s) without success"
102,2,blind-debate,"","[cost:missing,confidence:none] [ERROR] HTTP 422 [capability_dependency_unavailable] Video orchestration exhausted 6 candidate model(s) without success"
