task_index,task_type,complexity,domain,prompt_excerpt
84,strategy-specific,high,tech,"Write a precise, technically accurate explanation of how TLS 1.3 handshake works, including: the 0-RTT and 1-RTT modes, key exchange (ECDHE), cipher suite negotiation, certificate verification, and how it differs from TLS 1.2. This will be published as reference documentation — accuracy is paramount."
89,strategy-specific,medium,tech,"What are the ACID properties in database systems? For each property, give a concrete example of what happens when it is violated."
97,strategy-specific,low,tech,"Explain three sorting algorithms (quicksort, mergesort, heapsort) with their time complexity, space complexity, stability, and best use cases."
98,stt,medium,audio,Transcribe the audio and identify the main topics discussed.
102,video-generation,high,creative,Create a 5-second video of ocean waves crashing on rocky cliffs at golden hour with sea spray and warm lighting.
107,leader-test,medium,resilience,Write a Python function to find the longest common subsequence of two strings. Include dynamic programming solution with explanation.
112,compositor-pipeline,high,tech,"Research the current state of WebAssembly, debate its merits for server-side applications versus traditional compiled languages, and produce a recommendation for a fintech company considering WASM for their transaction processing engine."
116,reasoning,low,business,"A coffee shop sells 200 cups per day at $5 each. They raise the price to $6 and lose 15% of customers. What is the new daily revenue in dollars? Reason step by step, then end with exactly one line: `FINAL: <number>` (the revenue in dollars, digits only)."
117,reasoning,medium,tech,"Three microservices chain A→B→C with success rates 99.9%, 99.5%, 99.0% respectively. What is the compound end-to-end success rate as a percentage, rounded to two decimals? Show the multiplication, then end with exactly one line: `FINAL: <number>` (percentage, two decimals, digits and dot only)."
118,reasoning,medium,business,"A factory produces widgets. Factory A: 40% of output, 2% defect. Factory B: 35%, 3% defect. Factory C: 25%, 5% defect. A random widget is defective. Using Bayes theorem, what is the probability it came from Factory C? Give the answer as a percentage rounded to one decimal. Show your work, then end with exactly one line: `FINAL: <number>` (percentage, one decimal)."
119,factual-qa,low,science,"What is the speed of light in a vacuum, in meters per second (the exact defined SI value)? End with exactly one line: `FINAL: <number>` (digits only, no separators)."
120,reasoning,low,tech,"What is the time complexity of binary search on a sorted array of n elements, in Big-O notation? End with exactly one line: `FINAL: <answer>` in the form O(...)."
121,reasoning,medium,tech,"A token-bucket rate limiter has capacity 10 tokens and refills at 2 tokens/second. It starts full. A burst of 15 requests arrives instantly (each costs 1 token). How many requests are rejected? Then, how many seconds until the bucket is full again after the burst (assuming no further requests)? Reason step by step, then end with exactly one line: `FINAL: <rejected>,<seconds>` (two integers separated by a comma)."
122,factual-qa,low,general,What is the capital city of Australia? (Not the largest city — the capital.) End with exactly one line: `FINAL: <city>`.
123,reasoning,high,business,"A ride-sharing company: City A 10k rides/day at $2 profit/ride; City B 5k at $4; City C 2k at $1. Current total daily profit? Then: an investment adds $0.50 profit/ride in City B only. What is the new total daily profit per day in dollars? Show both totals, then end with exactly one line: `FINAL: <number>` (the NEW total daily profit, digits only)."
124,reasoning,low,tech,"Convert the hexadecimal number 0x2F to decimal. Show the place-value math, then end with exactly one line: `FINAL: <number>` (decimal, digits only)."
125,reasoning,medium,science,"A projectile is launched straight up at 20 m/s. Using g=10 m/s^2, how many seconds until it returns to the launch height? Show the kinematics, then end with exactly one line: `FINAL: <number>` (seconds, digits only)."
